"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Partnered","Mature","Language",""
"45","https://static-cdn.jtvnw.net/jtv_user_pictures/c29becb5-b45d-4ec5-9b1c-e5ce44b6e6d6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","TisiSchubech","84732480","5835","62418","14521","292617","63416","true","false","German","TisiSchubech"
"46","https://static-cdn.jtvnw.net/jtv_user_pictures/22a56845-20d0-4e14-932e-0ec099b088eb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Trymacs","351740565","15270","78862","23034","3155696","62490","true","false","German","Trymacs"
"47","https://static-cdn.jtvnw.net/jtv_user_pictures/13e55cbe-a1b0-4f4c-b69b-2748274b9e48-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","aminematue","120459855","4125","66953","29202","1316843","62387","true","false","French","aminematue"
"48","https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","HasanAbi","365335125","10425","137427","35044","2232725","61838","true","false","English","HasanAbi"
"49","https://static-cdn.jtvnw.net/jtv_user_pictures/779e270e-08fc-4a86-bf73-04fefa21bf4e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Tanizen","17372070","9345","18878","1858","577703","58802","true","false","Spanish","Tanizen"
"50","https://static-cdn.jtvnw.net/jtv_user_pictures/942bca8c-21f3-4e13-a4ef-148dca11ce7e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","BruceDropEmOff","91289385","2805","52835","32545","1024719","57206","true","true","English","BruceDropEmOff"
"51","https://static-cdn.jtvnw.net/jtv_user_pictures/6f36c08a-6f7d-40f1-a9e8-12eee2ff0f93-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MontanaBlack88","223208820","7875","50181","28343","4711511","56996","true","true","German","MontanaBlack88"
"52","https://static-cdn.jtvnw.net/jtv_user_pictures/dcac9d01-e875-43dd-99df-f8a4c9d6abd2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Twitch","23787435","1080","74962","22025","2324539","56477","true","false","English","Twitch"
"53","https://static-cdn.jtvnw.net/jtv_user_pictures/dfdcc815-753c-4da6-891a-0aeb051a664f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","LIENDRA","8130555","495","34303","16425","115715","55237","true","false","Spanish","LIENDRA"
"54","https://static-cdn.jtvnw.net/jtv_user_pictures/c7aaf7b0-49c7-4dd3-8228-861478bfd435-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Ninja","59275440","4710","30281","12585","18377805","54318","false","false","English","Ninja"
"55","https://static-cdn.jtvnw.net/jtv_user_pictures/6f4129f6-3750-4c02-b7c8-c88a05064129-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Clix","63232665","6660","20345","9494","5465483","54179","true","false","English","Clix"
"56","https://static-cdn.jtvnw.net/jtv_user_pictures/0294fec8-8572-4517-9b60-12e0705a8893-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Elraenn","100571280","4725","41539","21284","3585176","53269","true","true","Turkish","Elraenn"
"57","https://static-cdn.jtvnw.net/jtv_user_pictures/16171cc1-ef1c-4b85-9143-ad31037f072d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","schrodingerLee","18069750","5025","9046","3595","758770","53113","true","false","English","schrodingerLee"
